Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,159.669998,159.960007,155.169998,156.070007,117.294304,6146700
2015-01-07,157.199997,157.199997,154.029999,155.050003,116.527687,4701800
2015-01-08,156.240005,159.039993,155.550003,158.419998,119.060432,4236800
2015-01-09,158.419998,160.339996,157.250000,159.110001,119.579010,4488300
2015-01-12,159.000000,159.250000,155.759995,156.440002,117.572350,4187600
2015-01-13,157.259995,159.970001,155.679993,156.809998,117.850410,4377500
2015-01-14,154.860001,156.490005,153.740005,155.800003,117.091377,4690300
2015-01-15,156.690002,156.970001,154.160004,154.570007,116.166962,4248400
2015-01-16,153.820007,157.630005,153.820007,157.139999,118.098434,5756000
2015-01-20,156.699997,157.330002,154.029999,156.949997,117.955643,8392800
2015-01-21,153.029999,154.500000,151.070007,152.089996,114.303139,11897100
2015-01-22,151.940002,155.720001,151.759995,155.389999,116.783241,6120100
2015-01-23,155.029999,157.600006,154.889999,155.869995,117.143967,4834800
2015-01-26,158.259995,159.460007,155.770004,156.360001,117.512253,7888100
2015-01-27,154.940002,155.089996,152.589996,153.669998,115.490562,5659600
2015-01-28,154.000000,154.529999,151.550003,151.550003,113.897270,4495900
2015-01-29,151.380005,155.580002,149.520004,155.479996,116.850845,8320800
2015-01-30,153.910004,155.240005,153.039993,153.309998,115.219994,6563600
2015-02-02,154.000000,154.660004,151.509995,154.660004,116.234619,4712200
2015-02-03,154.750000,158.600006,154.750000,158.470001,119.097977,5539400
2015-02-04,157.210007,158.710007,156.699997,156.960007,117.963196,3678500
2015-02-05,157.289993,158.589996,157.149994,157.910004,118.677162,5253600
2015-02-06,157.339996,158.080002,156.229996,156.720001,118.609055,3256500
2015-02-09,156.000000,157.500000,155.399994,155.750000,117.874908,3057700
2015-02-10,156.740005,158.559998,155.080002,158.559998,120.001579,4440600
2015-02-11,157.759995,159.089996,157.169998,158.199997,119.729179,3626700
2015-02-12,158.720001,159.500000,158.089996,158.520004,119.971336,3333100
2015-02-13,158.779999,160.800003,158.639999,160.399994,121.394142,3706900
